Rad = 05,00 Teff = 3560,0
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,5004E009; NewMaxFlx = 1,5995
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,5459E009; NewMaxFlx = 1,8825
Rad = 35,00 Teff = 3660,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6316E009; NewMaxFlx = 1,0974
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,9810E009; NewMaxFlx = 1,3350
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,5227E009; NewMaxFlx = 1,5894
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,5639E009; NewMaxFlx = 1,8692
Rad = 35,00 Teff = 3760,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6386E009; NewMaxFlx = 1,0927
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,9924E009; NewMaxFlx = 1,3274
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,5469E009; NewMaxFlx = 1,5785
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,5828E009; NewMaxFlx = 1,8556
Rad = 35,00 Teff = 3860,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6468E009; NewMaxFlx = 1,0873
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0050E009; NewMaxFlx = 1,3190
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,5736E009; NewMaxFlx = 1,5668
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6027E009; NewMaxFlx = 1,8414
Rad = 35,00 Teff = 3960,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6566E009; NewMaxFlx = 1,0809
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0195E009; NewMaxFlx = 1,3096
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,6032E009; NewMaxFlx = 1,5539
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6237E009; NewMaxFlx = 1,8266
Rad = 35,00 Teff = 4060,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6688E009; NewMaxFlx = 1,0730
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0362E009; NewMaxFlx = 1,2988
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,6363E009; NewMaxFlx = 1,5397
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6464E009; NewMaxFlx = 1,8110
Rad = 35,00 Teff = 4160,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6838E009; NewMaxFlx = 1,0634
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0558E009; NewMaxFlx = 1,2864
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,6731E009; NewMaxFlx = 1,5243
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6708E009; NewMaxFlx = 1,7944
Rad = 35,00 Teff = 4260,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7023E009; NewMaxFlx = 1,0519
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0785E009; NewMaxFlx = 1,2723
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,7137E009; NewMaxFlx = 1,5077
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6973E009; NewMaxFlx = 1,7768
Rad = 35,00 Teff = 4360,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7254E009; NewMaxFlx = 1,0377
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1054E009; NewMaxFlx = 1,2561
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,7587E009; NewMaxFlx = 1,4896
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7264E009; NewMaxFlx = 1,7578
Rad = 35,00 Teff = 4460,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7536E009; NewMaxFlx = 1,0211
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1365E009; NewMaxFlx = 1,2378
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8080E009; NewMaxFlx = 1,4703
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7578E009; NewMaxFlx = 1,7378
Rad = 45,00 Teff = 3560,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,4788E009; NewMaxFlx = 1,2108
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,8025E009; NewMaxFlx = 1,4672
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,2165E009; NewMaxFlx = 1,7407
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,3601E009; NewMaxFlx = 2,0306
Rad = 45,00 Teff = 3660,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,4892E009; NewMaxFlx = 1,2023
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,8197E009; NewMaxFlx = 1,4533
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,2535E009; NewMaxFlx = 1,7209
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,3899E009; NewMaxFlx = 2,0053
Rad = 45,00 Teff = 3760,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,5012E009; NewMaxFlx = 1,1928
